User_ID,State,City,Transaction_Type,Amount,Date,Device,Status
1,Tamil Nadu,Delhi,Recharge,4543.09,2023-01-01 00:00:00,iOS,Success
2,Gujarat,Lucknow,Merchant Payment,2345.66,2023-01-01 01:00:00,Android,Success
3,Delhi,Chennai,Money Transfer,2336.83,2023-01-01 02:00:00,Android,Success
4,Gujarat,Ahmedabad,Money Transfer,3805.27,2023-01-01 03:00:00,Android,Success
5,Gujarat,Ahmedabad,Merchant Payment,780.92,2023-01-01 04:00:00,Android,Success
6,Karnataka,Ahmedabad,Recharge,2441.45,2023-01-01 05:00:00,Android,Success
7,Delhi,Delhi,Bill Payment,2155.63,2023-01-01 06:00:00,Android,Success
8,Delhi,Chennai,Recharge,2988.58,2023-01-01 07:00:00,Android,Success
9,Delhi,Bangalore,Recharge,4997.79,2023-01-01 08:00:00,iOS,Success
10,Gujarat,Lucknow,Bill Payment,3849.55,2023-01-01 09:00:00,Android,Success
11,Tamil Nadu,Bangalore,Merchant Payment,1995.35,2023-01-01 10:00:00,iOS,Success
12,Delhi,Delhi,Money Transfer,4139.49,2023-01-01 11:00:00,Android,Success
13,Uttar Pradesh,Lucknow,Merchant Payment,861.83,2023-01-01 12:00:00,Android,Success
14,Gujarat,Ahmedabad,Merchant Payment,162.01,2023-01-01 13:00:00,Android,Success
15,Karnataka,Mumbai,Recharge,1030.2,2023-01-01 14:00:00,Android,Success
16,Tamil Nadu,Delhi,Money Transfer,1708.65,2023-01-01 15:00:00,iOS,Success
17,Uttar Pradesh,Delhi,Money Transfer,2557.8,2023-01-01 16:00:00,iOS,Success
18,Uttar Pradesh,Chennai,Merchant Payment,3079.49,2023-01-01 17:00:00,iOS,Success
19,Karnataka,Bangalore,Bill Payment,4553.92,2023-01-01 18:00:00,Android,Success
20,Tamil Nadu,Delhi,Merchant Payment,2554.17,2023-01-01 19:00:00,Android,Success
21,Gujarat,Delhi,Bill Payment,2511.37,2023-01-01 20:00:00,Android,Success
22,Maharashtra,Ahmedabad,Money Transfer,260.71,2023-01-01 21:00:00,iOS,Success
23,Tamil Nadu,Ahmedabad,Merchant Payment,184.21,2023-01-01 22:00:00,Android,Success
24,Karnataka,Lucknow,Recharge,2760.29,2023-01-01 23:00:00,iOS,Success
25,Uttar Pradesh,Mumbai,Merchant Payment,2196.51,2023-01-02 00:00:00,iOS,Success
26,Gujarat,Chennai,Money Transfer,4197.51,2023-01-02 01:00:00,Android,Success
27,Tamil Nadu,Mumbai,Recharge,811.79,2023-01-02 02:00:00,Android,Success
28,Maharashtra,Lucknow,Recharge,134.61,2023-01-02 03:00:00,iOS,Success
29,Maharashtra,Ahmedabad,Bill Payment,2250.7,2023-01-02 04:00:00,iOS,Success
30,Delhi,Bangalore,Recharge,1195.02,2023-01-02 05:00:00,iOS,Success
31,Delhi,Ahmedabad,Recharge,257.58,2023-01-02 06:00:00,Android,Success
32,Karnataka,Chennai,Merchant Payment,3625.75,2023-01-02 07:00:00,Android,Success
33,Tamil Nadu,Ahmedabad,Money Transfer,566.85,2023-01-02 08:00:00,Android,Success
34,Tamil Nadu,Chennai,Bill Payment,3045.51,2023-01-02 09:00:00,Android,Success
35,Uttar Pradesh,Chennai,Merchant Payment,1412.44,2023-01-02 10:00:00,Android,Success
36,Uttar Pradesh,Chennai,Recharge,875.75,2023-01-02 11:00:00,Android,Success
37,Uttar Pradesh,Lucknow,Recharge,1904.96,2023-01-02 12:00:00,iOS,Success
38,Delhi,Chennai,Bill Payment,4009.21,2023-01-02 13:00:00,iOS,Success
39,Tamil Nadu,Chennai,Money Transfer,1966.55,2023-01-02 14:00:00,iOS,Success
40,Tamil Nadu,Bangalore,Bill Payment,3756.34,2023-01-02 15:00:00,Android,Success
41,Maharashtra,Mumbai,Merchant Payment,636.18,2023-01-02 16:00:00,iOS,Success
42,Delhi,Delhi,Bill Payment,3866.13,2023-01-02 17:00:00,Android,Success
43,Gujarat,Mumbai,Recharge,1192.3,2023-01-02 18:00:00,Android,Success
44,Delhi,Chennai,Merchant Payment,3390.19,2023-01-02 19:00:00,iOS,Success
45,Gujarat,Bangalore,Recharge,2833.25,2023-01-02 20:00:00,Android,Success
46,Maharashtra,Ahmedabad,Money Transfer,4646.43,2023-01-02 21:00:00,iOS,Success
47,Karnataka,Bangalore,Recharge,1942.74,2023-01-02 22:00:00,iOS,Success
48,Tamil Nadu,Chennai,Recharge,340.16,2023-01-02 23:00:00,Android,Success
49,Maharashtra,Bangalore,Bill Payment,105.59,2023-01-03 00:00:00,iOS,Success
